url,naming,img,specs,price,class
https://market.yandex.ru/product--ekshn-kamera-x-try-xtm410-iguana-2880x2160/442378610?nid=26995636&show-uid=16536463949060483327916011&context=search&sku=100641668152&cpc=60QaWmGOc0-cYOudAC8SjCFmx1yJXzMXf4oWSt2DCwnqsBLI31kleIY4Uw_PMkepjKqKJzj3SGV48v_CRItouMoM7z3ShpLvtpvnwlZLyTEuvx2pqvUklWFMHgQ7GwQPQ-v7CcZd61PHSuA6aVxXRDtzb8SFIvj_W1f2caOJdx6vFHK1vtp7GlCb9pWhGJt9&do-waremd5=p9TC0OccdHuly5WFzB9Dbw&sponsored=1,Экшн-камеры X-TRY Экшн-камера X-TRY XTM410 Iguana,[],"[{'Производитель': ' X-TRY'}, {'Тип': ' экшн-камера'}, {'Качество съемки': ' UHD 4K'}]",17 290,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-x-try-xtm401-steel-gray-2880x2160/442405005?nid=26995636&show-uid=16536463949060483327916012&context=search&sku=100641671150&cpc=fdVWhPEP2XOtHQ8sXxsB4P3kkvsLqmuXwj5tq8Crbt1BFrqj9BYrza4attnrJvWOpYxFdsAucl-_MM9iwqnPL2JuMkZXKvX0OF2cxo2VaVFx3ShYG-B5k2IVV9XZZJrJaeZZbX2E9NZc4LSSO4i4KQA7cseYpPLBChrNW3JVs3lrGe6hBNLpnIcPqovSEuJA&do-waremd5=H5MsF6JsNXZ_DE9y-nGSvw&sponsored=1,"Экшн-камера X-TRY XTM401 Steel Gray, 2880x2160, черный",[],"[{'макс. разрешение': ' UHD 4K (2880x2160)'}, {'беспроводная связь': ' Wi-Fi'}, {'максимальная частота кадров при 4K': ' 24 к/с'}, {'максимальная частота кадров при Full HD': ' 60 к/с'}]",11 290,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-digma-dicam-170-1920x1080/608390158?nid=26995636&show-uid=16536463949060483327916013&context=search&sku=100809818923&cpc=-Z-PEt3x2uRe0K7qGjQoqD47HGqPV5CfLqs4FhccSx5-TrIJJBqDNbrj_o_hWcMs5KAPpe6jyx8zYbo7No9nfqfBIbSvNUY3nmkrLVTEf2Umuc5OrLpNYv5E1w4KRG-X-goOB-KdIHIUci-Nhqy_Szg34LeGAQTo40KHcGN5ADgSexZsLEMXEQ%2C%2C&do-waremd5=jrxgN94CWSoA1faOheomqg,"Экшн-камера DIGMA DiCam 170, 1920x1080, черный",[],"[{'макс. разрешение': ' Full HD 1080p (1920x1080)'}, {'максимальная частота кадров при Full HD': ' 30 к/с'}, {'опции и комплект': ' запись на карту памяти, экран, защитный бокс в комплекте'}, {'вес': ' 50 г'}]",2 419,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-ginzzu-fx-115gl-1mp-1280x720/1715571642?nid=26995636&show-uid=16536463949060483327916014&context=search&sku=1715571642&cpc=oLtVwNsatpStcfhkGwnZuwOJvfvv8Fpj6M4sCjWLLrUC-Gj8_ZMDGGPkOdth7rxlFHyGI_xvFIczzQTZ2sP36l9GTQNxApB79NysdLU9q5HL7XV0xCIb4PW8rFmhfMcb2pbq_Pb9BRxkUHNEKWz3Oh66TMwtDlILadSVdjNl0GzuVRxsjDqWFXjtgA-N0q_E&do-waremd5=J2DfkP5Yv3U81ZDM2E6Ywg,"Экшн-камера Ginzzu FX-115GL, 1МП, 1280x720, черный",[],"[{'макс. разрешение': ' HD 720p (1280x720)'}, {'опции и комплект': ' запись на карту памяти, экран, защитный бокс в комплекте'}, {'вес': ' 48 г'}, {'матрица': ' 1 МП'}]",2 390,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-gopro-hero8-chdhx-801-rw-12mp-3840x2160-1220-ma-ch/584383003?nid=26995636&show-uid=16536463949060483327916015&context=search&sku=100791234728&cpc=S0CqpzqY9WQ2f2kO-U4t1XOkSqg4cY517fxhmCmWm8IvdVMSW8Cr8yKlfczxRqSf8Y4rrk2owA6fgFVnr85iK-XO_sJhw4AW43CMbY5_u-ErJyGw2CTh3NALGSfUEuW2Xk6DseFLnDuhA-C8__4J4lunohpF8Y7HvRQ7-P6d5JztBf1XcP_HZw%2C%2C&do-waremd5=kZygHDBJHuXqhfJfWPjqvQ,"Экшн-камера GoPro HERO8 (CHDHX-801-RW), 12МП, 3840x2160, 1220 мА·ч, black edition",[],"[{'макс. разрешение': ' UHD 4K (3840x2160)'}, {'беспроводная связь': ' Wi-Fi, GPS, Bluetooth'}, {'стабилизатор': ' электронный (цифровой)'}, {'максимальная частота кадров при 4K': ' 60 к/с'}]",32 900,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-x-try-xtm400-iguana-2880x2160/442405023?nid=26995636&show-uid=16536463949060483327916016&context=search&sku=100641669108&cpc=60QaWmGOc0-GIN257yTBmo_G24Kd00z22htKh5UMoQkgHK9VmOIxgFwPsOOQy4BKK9psJyPXSpk8MsBFKNFFqFuA8zf26xztucSrtSnhUc8FkpzFFBN8rQnBHczQep295ywgwvvZoV_geslXQTQIcV0v_GUVcIohIFURFxPSdp_DhQ4o-yZxoIWxw0JHjzc5&do-waremd5=zhFwzZnuCFBCZtY6PP6Zyg&sponsored=1,"Экшн-камера X-TRY XTМ400 Iguana, 2880x2160, черный",[],"[{'макс. разрешение': ' UHD 4K (2880x2160)'}, {'беспроводная связь': ' Wi-Fi'}, {'максимальная частота кадров при 4K': ' 24 к/с'}, {'максимальная частота кадров при Full HD': ' 60 к/с'}]",11 890,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-digma-dicam-310-3840x2160/608397140?nid=26995636&show-uid=16536463949060483327916017&context=search&sku=100809826977&cpc=0Onvl_ydaceVnCV0pFXqdKajK2W4G4_CJx0xVfFXGATMVdYcae3TiKVliuMCYNerQEu-k4bcJ14r9WIFQTnNKwcGHP7HzKA8n20DZsYeDFYv4B3Rb49FkHTz6-GK_oxWj0LUxi9olc7w-4wofQngmyRgqONdz1ehitg4AjIZKCvTUFH5PNTIF6wQvAjWRoQW&do-waremd5=NKFu2wXoVFMvuLahIbOeRA&sponsored=1,"Экшн-камера DIGMA DiCam 310, 3840x2160, черный",[],"[{'макс. разрешение': ' UHD 4K (3840x2160)'}, {'беспроводная связь': ' Wi-Fi'}, {'максимальная частота кадров при 4K': ' 30 к/с'}, {'максимальная частота кадров при Full HD': ' 60 к/с'}]",6 490,Экшн-камеры
https://market.yandex.ru/product--modul-gps-usb-dlia-karkam-tiny-excam-one/1746675252?nid=26995636&show-uid=16536463949060483327916018&context=search&sku=101715588254&cpc=iIvBGiqbiPb0_F2OkHJWEhLvV-VXFpWZcujVe4_VyQj9DEnHWnp0n1ZdtResfiVRZrbubM1Cr_GHPPIdHUKLnt5QL1B9A06PAt6UR6KlNM4DOfxFk4zMSe8YqCx2ieLdfaylwrJk5Si-ejl_psKNHO8aFIsUnhPM3snhQEZnlP9t4xp-4gRK4Q%2C%2C&do-waremd5=RHWvEFsQPUeGulrBdQMzmQ,Модуль GPS USB для Каркам Tiny / Excam One,[],[],1 890,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-digma-dicam-450-3840x2160-1000-ma-ch/1665517264?nid=26995636&show-uid=16536463949060483327916019&context=search&sku=101610502757&cpc=Uolf1WmRzol06SWVhIoTbQf0PMoHoGQIJaKr5GwO4X2IR_CfvNUyJvFQvb4dkn7b1kIvMI1mnaS_Zt6Bwgmne7rvbaPPCgmHdO4B4NT39rFi7O-CckURdRD14j9CX9bDIpP1IdYRoDKY3-csLRb5BZNTYYA6JQZIpCftmsN1s_LgxGlDzLoT8Q%2C%2C&do-waremd5=ydeEdFCjJrbwU3dE2oEhDA,"Экшн-камера DIGMA DiCam 450, 3840x2160, 1000 мА·ч, черный",[],"[{'макс. разрешение': ' UHD 4K (3840x2160)'}, {'беспроводная связь': ' Wi-Fi'}, {'стабилизатор': ' электронный (цифровой)'}, {'максимальная частота кадров при 4K': ' 24 к/с'}]",3 190,Экшн-камеры
https://market.yandex.ru/product--ekshn-kamera-minox-acx-100/653345749?nid=26995636&show-uid=16536463949060483327916020&context=search&sku=100874902722&cpc=7h8JUVtig_SzUFTXgBil8J-jl2TBKXaSz8anaTWoJPpGO3ln0rbQQcPWN02hkQTUWj_6-tOcr08_qGixOEBDFS5-Kc6Ffo9cOjutpsWsbWgtql5ehH1k_UR6wYCwRgtHVafCN6OS8tddJHuQTHMbz8myE1hXSGoQuStqovX2l9Zkx99koSy4Dw%2C%2C&do-waremd5=3QiGvOEk8qgq_EW6RJgbpA,"Экшн-камера Minox ACX 100, черный",[],"[{'макс. разрешение': ' Full HD 1080p'}, {'функции и технологии': ' авто баланс белого, автоэкспозиция'}, {'опции и комплект': ' запись на карту памяти, влагонепроницаемый корпус'}, {'вес': ' 124 г'}]",12 344,Экшн-камеры
